Date,Open,High,Low,Close,Volume,Adj Close,EMA5,EMA10,EMA20,EMA60,EMA120
11/18/05,403.49,404.5,399.85,400.21,7025700,400.21,398.316,393.716,380.3485,329.6468333,310.2915
11/17/05,401.8,403.81,399.53,403.45,9212200,403.45,396.354,392.738,377.333,327.6865,309.3564167
11/16/05,396.2,398.85,394.11,398.15,8695200,398.15,393.884,390.988,372.3205,325.6718333,308.3049167
11/15/05,394.38,397,390.95,392.8,8624900,392.8,390.084,389.141,367.848,323.6956667,307.2036667
11/14/05,392.12,398.22,391.53,396.97,7807900,396.97,389.504,387.799,363.372,321.7158333,306.0903333
11/11/05,395.12,396.9,388.85,390.4,7063900,390.4,389.116,385.316,358.7735,319.7663333,304.9556667
11/10/05,378.36,391.35,377.43,391.1,9128700,391.1,389.122,382.093,354.0605,317.9261667,303.8356667
11/9/05,386.67,388.29,378.03,379.15,10466900,379.15,388.092,378.289,349.3775,316.1595,302.70525
11/8/05,394.25,395.59,388.58,389.9,7897500,389.9,388.198,375.918,345.4685,314.6011667,301.5590833
11/7/05,395.1,397.47,392.15,395.03,9591500,395.03,386.094,371.619,341.2785,312.8361667,300.3030833
11/4/05,389.98,391.79,385.45,390.43,8824900,390.43,381.516,366.981,337.0595,311.081,299.0041667
11/3/05,382.41,386.58,381.38,385.95,7448400,385.95,375.064,361.928,333.1875,309.308,297.6933333
11/2/05,381.7,385,377.17,379.68,10565400,379.68,368.486,353.653,329.5275,307.6368333,296.4025
11/1/05,371.86,383.9,369.01,379.38,16356100,379.38,363.638,346.555,326.079,306.1683333,295.1488333
10/31/05,360.24,374.75,359.51,372.14,14342900,372.14,357.144,338.945,322.66,304.6995,293.8933333
10/28/05,355.27,358.95,355.02,358.17,5903500,358.17,352.446,332.231,319.987,303.3696667,292.7195833
10/27/05,356.6,357.09,351.68,353.06,5134400,353.06,348.792,326.028,317.9015,302.3623333,291.6331667
10/26/05,346.28,356,346.19,355.44,8907500,355.44,338.82,320.466,315.7295,301.433,290.5745
10/25/05,345.78,347.4,342.86,346.91,6878300,346.91,329.472,315.019,313.2575,300.4955,289.5126667
10/24/05,343.37,349.3,342.19,348.65,9431700,348.65,320.746,310.938,311.609,299.5738333,288.51325
10/21/05,345.8,346.43,333,339.9,22892400,339.9,312.016,307.138,309.8905,298.559,287.512
10/20/05,309.99,311.13,301.21,303.2,13911700,303.2,303.264,304.447,308.6635,297.7856667,286.5644167
10/19/05,304,309.87,303.96,308.7,7010700,308.7,302.112,305.402,309.072,297.6811667,285.8901667
10/18/05,304.96,307.96,302.74,303.28,7077800,303.28,300.566,305.603,309.232,297.471,285.151
10/17/05,297.5,305.2,294.56,305,7566700,305,301.13,306.375,309.4635,297.3471667,284.4524167
10/14/05,299.9,300.23,292.54,296.14,8519100,296.14,302.26,307.743,309.403,297.3038333,283.74225
10/13/05,302,302,290.68,297.44,10567700,297.44,305.63,309.775,309.606,297.6005,283.0973333
10/12/05,305.2,307.19,299,300.97,9306200,300.97,308.692,310.993,309.865,297.8431667,282.4814167
10/11/05,310.61,312.65,304.86,306.1,8542600,306.1,310.64,311.496,309.9665,297.992,281.77175
10/10/05,313.31,314.82,309.15,310.65,5572200,310.65,311.62,312.28,310.2455,297.8826667,280.92275
10/7/05,314.79,316.67,310.54,312.99,6770300,312.99,313.226,312.643,310.2,297.725,279.9848333
10/6/05,314.14,314.48,310.09,312.75,7993800,312.75,313.92,312.88,309.505,297.5233333,278.9715833
10/5/05,312.69,314.9,308,310.71,8328400,310.71,313.294,312.742,308.637,297.2918333,277.9234167
10/4/05,319.95,321.28,310.74,311,9144300,311,312.352,312.861,307.845,296.9763333,276.8758333
10/3/05,313.63,320.11,312.79,318.68,9160300,318.68,312.94,312.552,306.6505,296.6821667,275.8795833
9/30/05,314.22,317.5,312.29,316.46,9151300,316.46,312.06,311.063,305.139,296.308,274.8316667
9/29/05,306.68,310.72,306.08,309.62,5613800,309.62,311.84,309.437,303.6285,295.9593333,273.8108333
9/28/05,314.22,315.1,305.6,306,7997400,306,312.19,308.737,302.4475,295.6576667,272.8409167
9/27/05,314.95,318.41,313.38,313.94,6873100,313.94,313.37,308.437,301.511,295.4861667,271.8913333
9/26/05,319.5,320.95,312.56,314.28,9894400,314.28,312.164,308.211,300.2365,295.108,270.8898333
9/23/05,313,317.21,312.59,315.36,8483800,315.36,310.066,307.757,298.7015,294.7725,269.8476667
9/22/05,311.5,319.22,310.17,311.37,13006400,311.37,307.034,306.13,297.063,294.3951667,268.7910833
9/21/05,308.41,313.76,305.96,311.9,10119700,311.9,305.284,304.532,295.623,294.239,267.7404167
9/20/05,306.15,311.3,305.23,307.91,9351000,307.91,303.504,302.829,294.007,294.109,266.6415833
9/19/05,301,306,300.71,303.79,5761900,303.79,304.258,300.749,292.312,293.9313333,265.5799167
9/16/05,304.02,304.5,299.87,300.2,7579800,300.2,305.448,299.215,291.1225,293.6966667,264.5520833
9/15/05,299.52,306.75,297.91,302.62,15466200,302.62,305.226,297.82,290.112,293.515,263.5468333
9/14/05,308.73,313.28,300.3,303,11275800,303,303.78,296.158,289.236,293.2686667,262.5368333
9/13/05,309,315.53,306.17,311.68,10299900,311.68,302.154,294.585,288.3685,292.997,261.5055833
9/12/05,301.75,311.42,301,309.74,10386500,309.74,297.24,292.262,286.9845,292.474,260.39975
9/9/05,297.28,299.1,296.56,299.09,4390500,299.09,292.982,289.646,285.9835,291.9356667,259.3069167
9/8/05,294.83,299.28,293.36,295.39,6613300,295.39,290.414,287.996,285.2315,291.5308333,258.3218333
9/7/05,285.89,295.5,285.28,294.87,7499500,294.87,288.536,286.714,284.746,291.2468333,257.3605833
9/6/05,289,289.39,286.8,287.11,4212300,287.11,287.016,285.185,284.581,291.0448333,256.3974167
9/2/05,286.51,289.99,286.44,288.45,3434500,288.45,287.284,283.875,284.788,290.968,255.4681667
9/1/05,285.91,287.5,285,286.25,2742100,286.25,286.31,283.03,284.983,290.9323333,254.5528333
8/31/05,288.23,288.5,284.36,286,5034000,286,285.578,282.404,285.557,290.8208333,253.6256667
8/30/05,287.39,289.51,285.88,287.27,4792000,287.27,284.892,282.314,286.122,290.9395,252.724
8/29/05,282.24,289.12,282.24,288.45,5903000,288.45,283.354,282.152,286.718,291.0006667,251.8299167
8/26/05,283.48,285.02,282.66,283.58,3755300,283.58,280.466,281.707,286.876,290.8641667,250.9374167
8/25/05,282.55,284,279.97,282.59,4376600,282.59,279.75,282.321,287.085,290.9361667,250.1175833
8/24/05,277.57,284.75,276.45,282.57,8593100,282.57,279.23,282.467,287.6305,291.0263333,249.3360833
8/23/05,276.16,279.74,274.12,279.58,5821700,279.58,279.736,282.778,288.3485,290.938,248.5305
8/22/05,281.24,281.47,273.35,274.01,6813000,274.01,280.95,283.977,289.174,290.7116667,247.7590833
8/19/05,280.99,281.45,279.62,280,5542900,280,282.948,285.701,290.266,290.4648333,247.0188333
8/18/05,275.91,280.5,275,279.99,11872800,279.99,284.892,286.936,291.386,290.145,246.236
8/17/05,285.51,286.57,284,285.1,3883300,285.1,285.704,288.71,293.0835,289.7451667,245.4693333
8/16/05,284.88,287.79,283.34,285.65,7109200,285.65,285.82,289.93,294.4285,289.251,244.6424167
8/15/05,289.8,292.77,283.77,284,8174700,284,287.004,291.284,295.641,288.517,243.8360833
8/12/05,283.36,290.2,281.64,289.72,6585900,289.72,288.454,292.045,296.418,287.77,243.0856667
8/11/05,285.89,286.58,280.62,284.05,7514900,284.05,288.98,291.849,296.9915,286.9273333,242.2660833
8/10/05,291.3,292.33,284.88,285.68,6879000,285.68,291.716,292.794,297.8335,286.0786667,241.5485833
8/9/05,291.96,292.68,288.51,291.57,5779300,291.57,294.04,293.919,298.4925,285.1681667,240.8170833
8/8/05,293.6,295.65,290.49,291.25,4481800,291.25,295.564,294.371,298.503,284.1293333,240.04075
8/5/05,297.5,298.51,291.31,292.35,5939700,292.35,295.636,294.831,298.608,283.0871667,239.2405833
8/4/05,295.55,299,295.25,297.73,5236500,297.73,294.718,295.836,298.802,282.0695,238.4125833
8/3/05,298,299.72,295.6,297.3,5930600,297.3,293.872,297.457,298.6925,280.904,237.4931667
8/2/05,291.6,299.52,291.12,299.19,7290200,299.19,293.798,298.927,298.4035,279.716,236.5821667
8/1/05,288.12,292.5,288.1,291.61,5662400,291.61,293.178,299.998,298.2295,278.5298333,235.6854167
7/29/05,292.14,292.84,286.99,287.76,8363300,287.76,294.026,300.791,298.2115,277.4526667,234.9106667
7/28/05,297.41,297.41,293.28,293.5,5925600,293.5,296.954,302.134,298.531,276.465,234.14625
7/27/05,297.74,298.23,292.4,296.93,7217900,296.93,301.042,302.873,298.492,275.3431667,233.4034167
7/26/05,295.01,298,292.09,296.09,9816900,296.09,304.056,303.066,298.7455,274.0991667,232.6861667
